StreamName,MaxE2E(us),Deadline(us),Path
VLAN_0_Flow_0,60000000000.0,15000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_1,60000000000.0,15000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_2,60000000000.0,15000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_3,60000000000.0,15000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_4,60000000000.0,15000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_5,60000000000.0,15000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_6,60000000000.0,15000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_7,60000000000.0,15000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_8,60000000000.0,15000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_9,60000000000.0,15000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_10,72000000000.0,18000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_11,72000000000.0,18000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_12,72000000000.0,18000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_13,72000000000.0,18000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_14,72000000000.0,18000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_15,72000000000.0,18000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_16,72000000000.0,18000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_17,72000000000.0,18000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_18,72000000000.0,18000,node0_0_1_0->e4->2-sw_0_1->e2->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_19,72000000000.0,18000,node0_0_1_1->e5->3-sw_0_1->e2->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_20,89999999999.99998,20000,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_21,89999999999.99998,20000,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_22,89999999999.99998,20000,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_23,89999999999.99998,20000,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_24,89999999999.99998,20000,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_25,89999999999.99998,20000,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_26,89999999999.99998,20000,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
VLAN_0_Flow_27,89999999999.99998,20000,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_28,89999999999.99998,20000,node0_0_2_0->e6->2-sw_0_2->e3->1-sw_0_3->e8->2-node0_0_3_0
VLAN_0_Flow_29,89999999999.99998,20000,node0_0_2_1->e7->3-sw_0_2->e3->1-sw_0_3->e9->3-node0_0_3_1
